year,state,state_po,first_place_party,first_place_vote_share,second_place_party,second_place_vote_share,republican_candidates,democrat_candidates,libertarian_candidates,other_candidates,republican_candidates_writein,democrat_candidates_writein,libertarian_candidates_writein,other_candidates_writein
2012,KANSAS,KS,REPUBLICAN,0.5971,DEMOCRAT,0.3799,1,1,1,1,0,0,0,1
2012,KENTUCKY,KY,REPUBLICAN,0.6049,DEMOCRAT,0.378,1,1,1,2,0,0,0,1
2012,LOUISIANA,LA,REPUBLICAN,0.5778,DEMOCRAT,0.4058,1,1,1,8,0,0,0,0
2012,MAINE,ME,DEMOCRAT,0.5537,REPUBLICAN,0.4033,1,1,1,2,0,0,0,1
2012,MARYLAND,MD,DEMOCRAT,0.6197,REPUBLICAN,0.359,1,1,1,1,0,0,0,1
2012,MASSACHUSETTS,MA,DEMOCRAT,0.6034,REPUBLICAN,0.3732,1,1,1,3,0,0,0,0
2012,MICHIGAN,MI,DEMOCRAT,0.5421,REPUBLICAN,0.4471,1,1,0,3,0,0,0,1
2012,MINNESOTA,MN,DEMOCRAT,0.5265,REPUBLICAN,0.4496,1,1,1,7,0,0,0,1
2012,MISSISSIPPI,MS,REPUBLICAN,0.5529,DEMOCRAT,0.4379,1,1,1,3,0,0,0,0
2012,MISSOURI,MO,REPUBLICAN,0.5376,DEMOCRAT,0.4438,1,1,1,1,0,0,0,0
2012,MONTANA,MT,REPUBLICAN,0.5535,DEMOCRAT,0.417,1,1,1,0,0,0,0,1
2012,NEBRASKA,NE,REPUBLICAN,0.598,DEMOCRAT,0.3803,1,1,1,1,0,0,0,1
2012,NEVADA,NV,DEMOCRAT,0.5236,REPUBLICAN,0.4568,1,1,1,2,0,0,0,0
2012,NEW HAMPSHIRE,NH,DEMOCRAT,0.5198,REPUBLICAN,0.464,1,1,1,2,0,0,0,1
2012,NEW JERSEY,NJ,DEMOCRAT,0.5834,REPUBLICAN,0.4062,1,1,1,7,0,0,0,0
2012,NEW MEXICO,NM,DEMOCRAT,0.5299,REPUBLICAN,0.4284,1,1,1,3,0,0,0,0
2012,NEW YORK,NY,DEMOCRAT,0.6076,REPUBLICAN,0.3124,1,1,1,6,0,0,0,1
2012,NORTH CAROLINA,NC,REPUBLICAN,0.5039,DEMOCRAT,0.4835,1,1,1,0,0,0,0,1
2012,NORTH DAKOTA,ND,REPUBLICAN,0.5832,DEMOCRAT,0.387,1,1,1,2,0,0,0,1
2012,OHIO,OH,DEMOCRAT,0.5067,REPUBLICAN,0.4769,1,1,1,4,0,0,0,1
2012,OKLAHOMA,OK,REPUBLICAN,0.6677,DEMOCRAT,0.3323,1,1,0,0,0,0,0,0
2012,OREGON,OR,DEMOCRAT,0.5424,REPUBLICAN,0.4215,1,1,1,4,0,0,0,0
2012,PENNSYLVANIA,PA,DEMOCRAT,0.5208,REPUBLICAN,0.4668,1,1,1,1,0,0,0,0
2012,RHODE ISLAND,RI,DEMOCRAT,0.627,REPUBLICAN,0.3524,1,1,1,4,0,0,0,1
2012,SOUTH CAROLINA,SC,REPUBLICAN,0.5456,DEMOCRAT,0.4409,1,1,1,2,0,0,0,0
2012,SOUTH DAKOTA,SD,REPUBLICAN,0.5789,DEMOCRAT,0.3987,1,1,1,1,0,0,0,0
2012,TENNESSEE,TN,REPUBLICAN,0.5948,DEMOCRAT,0.3908,1,1,0,3,0,0,0,0
2012,TEXAS,TX,REPUBLICAN,0.5717,DEMOCRAT,0.4138,1,1,1,1,0,0,0,1
2012,UTAH,UT,REPUBLICAN,0.7279,DEMOCRAT,0.2475,1,1,1,4,0,0,0,1
2012,VERMONT,VT,DEMOCRAT,0.6657,REPUBLICAN,0.3097,1,1,1,2,0,0,0,1
2012,VIRGINIA,VA,DEMOCRAT,0.5116,REPUBLICAN,0.4728,1,1,1,2,0,0,0,1
2012,WASHINGTON,WA,DEMOCRAT,0.5616,REPUBLICAN,0.4129,1,1,1,5,0,0,0,0
2012,WEST VIRGINIA,WV,REPUBLICAN,0.623,DEMOCRAT,0.3554,1,1,1,2,0,0,0,0
2012,WISCONSIN,WI,DEMOCRAT,0.5278,REPUBLICAN,0.4594,1,1,0,3,0,0,0,0
2012,WYOMING,WY,REPUBLICAN,0.6819,DEMOCRAT,0.2764,1,1,1,3,0,0,0,1
